Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.848562996	-508.779213090113
HMR_9039	isoleucine	-0.01142058	-7.81345558890519
HMR_9040	leucine	-0.012571768	-14.7864199391632
HMR_9041	lysine	-0.009254128	-11.1442912383588
HMR_9042	methionine	-0.003363566	-3.57987009053425
HMR_9043	phenylalanine	-0.003162452	-5.6499688820171
HMR_9044	threonine	-0.009353784	-872.588287708106
HMR_9045	tryptophan	-0.000865457	-1.49420664648386
HMR_9046	valine	-0.008788208	-10.4905758305221
HMR_9061	alanine	0.022787714	-26.0386608667094
HMR_9062	asparagine	-0.004913882	-5.8056154076925
HMR_9063	glutamine	-0.122203241	-16.866069016404
HMR_9064	tyrosine	-0.004482545	-4.26471480350602
HMR_9066	arginine	-0.00129978	-8.26483051336385
HMR_9067	glycine	0.016061208	-6.57902332423333
HMR_9068	proline	-0.001069608	-7.76676163120257
HMR_9069	serine	-0.024670565	-20.1583400171393
HMR_9070	aspartate	0.001500354	0
HMR_9071	glutamate	0.016112564	-20.1338299529902
HMR_9083	choline	-0.001938647	-1.62586179686407
HMR_9087	ornithine	-0.002311655	8.98951141848033
HMR_9133	pyruvate	2.87325e-07	0
HMR_9135	L-lactate	0.932104298	896.024461933313
HMR_9146	folate	9.99813e-06	-88.4657104845811
HMR_9259	AKG	1.9532e-05	0
HMR_9292	L-carnitine	-1.83091e-05	0
humanGrowthOut	biomass	0.020798529	33.0459714809771
