Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.898948663	-0.898948663
HMR_9039	isoleucine	-0.004599992	-5.10161725040247
HMR_9040	leucine	-0.00879963	-9.65445495594093
HMR_9041	lysine	-0.015465749	-45.762841465317
HMR_9042	methionine	-0.004351409	-2.33739435775412
HMR_9043	phenylalanine	-0.004906518	-11.0963052612757
HMR_9044	threonine	-0.009821513	-916.809560559346
HMR_9045	tryptophan	-0.00133912	-0.975608079758242
HMR_9046	valine	-0.010175864	-6.84958172663599
HMR_9061	alanine	0.086767953	1.7599852711873
HMR_9062	asparagine	-0.001222105	-3.79064389322733
HMR_9063	glutamine	-0.219496506	-11.0123142905866
HMR_9064	tyrosine	-0.006833216	-2.78454806097665
HMR_9066	arginine	-0.005431378	-5.39633219116278
HMR_9067	glycine	0.008171299	0
HMR_9068	proline	0.00710491	-5.07112949791003
HMR_9069	serine	-0.031649758	-36.7905018136275
HMR_9070	aspartate	-0.012462967	-0.0210197768335352
HMR_9071	glutamate	0.011390914	-7.26585514142631
HMR_9083	choline	-0.000844902	-1.06156930122314
HMR_9087	ornithine	-0.001427155	0
HMR_9133	pyruvate	1.5187e-07	0
HMR_9135	L-lactate	1.118142634	0
HMR_9146	folate	8.51269e-06	-18.6232233755102
HMR_9259	AKG	1.0472e-05	0
HMR_9292	L-carnitine	-4.71519e-05	0
humanGrowthOut	biomass	0.019171008	21.5766118134785
