Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.891204517	-0.891204517
HMR_9039	isoleucine	-0.013615722	-0.00607143107022093
HMR_9040	leucine	-0.01834798	-0.0130466997754909
HMR_9041	lysine	-0.022543147	-0.0112193758611526
HMR_9042	methionine	-0.006100296	-0.00306518850147076
HMR_9043	phenylalanine	-0.006567123	-0.00569810682965718
HMR_9044	threonine	-0.013603744	-0.00794782747354916
HMR_9045	tryptophan	-0.001211726	-0.0014147023852942
HMR_9046	valine	-0.01330341	-0.00925451143713288
HMR_9061	alanine	0.056209087	-0.0184107796530648
HMR_9062	asparagine	-0.00571363	-0.00785945769607887
HMR_9063	glutamine	-0.226698917	-0.0334943888814574
HMR_9064	tyrosine	-0.007986935	-0.00373324240563747
HMR_9066	arginine	-0.027206388	-0.00996186262977997
HMR_9067	glycine	-0.000802262	-0.0469799083783134
HMR_9068	proline	0.000605661	-0.0167602935368882
HMR_9069	serine	-0.0325857	-0.0121894392516132
HMR_9070	aspartate	-0.001934168	0
HMR_9071	glutamate	0.02678411	-0.610384049043242
HMR_9083	choline	-0.002044274	-0.000729544336316401
HMR_9087	ornithine	0.007885861	0
HMR_9133	pyruvate	2.50926e-07	0
HMR_9135	L-lactate	1.392205968	2.11460806583186
HMR_9146	folate	4.25415e-05	-0.00766297125367821
HMR_9259	AKG	2.24831e-05	0
HMR_9292	L-carnitine	-1.19031e-05	0
humanGrowthOut	biomass	0.035730055	0.0327477404003286
