Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.891204517	-0.891204517
HMR_9039	isoleucine	-0.013615722	-0.00607140838272624
HMR_9040	leucine	-0.01834798	-0.0130466510230751
HMR_9041	lysine	-0.022543147	-0.0112193339370119
HMR_9042	methionine	-0.006100296	-0.00306517704758994
HMR_9043	phenylalanine	-0.006567123	-0.00569808553718643
HMR_9044	threonine	-0.013603744	-0.00794779777440712
HMR_9045	tryptophan	-0.001211726	-0.00141469709888767
HMR_9046	valine	-0.01330341	-0.00925447685522349
HMR_9061	alanine	0.056209087	-0.0184107108563575
HMR_9062	asparagine	-0.00571363	-0.0078594283271537
HMR_9063	glutamine	-0.226698917	-0.0334942637208883
HMR_9064	tyrosine	-0.007986935	-0.00373322845539801
HMR_9066	arginine	-0.027206388	-0.00996182540466732
HMR_9067	glycine	-0.000802262	-0.0469797328255637
HMR_9068	proline	0.000605661	-0.0167602309076553
HMR_9069	serine	-0.0325857	-0.0121893937025763
HMR_9070	aspartate	-0.001934168	0
HMR_9071	glutamate	0.02678411	-0.610378740710929
HMR_9083	choline	-0.002044274	-0.000729541610182633
HMR_9087	ornithine	0.007885861	0
HMR_9133	pyruvate	2.50926e-07	0
HMR_9135	L-lactate	1.392205968	2.11460379701083
HMR_9146	folate	4.25415e-05	-0.00766294261897649
HMR_9259	AKG	2.24831e-05	0
HMR_9292	L-carnitine	-1.19031e-05	0
humanGrowthOut	biomass	0.035730055	0.0327476180298071
